episode,timestep,reward
1,1000,-5548.873
3,2000,-5506.2239
5,3000,-5393.3428
7,4000,-5164.5306
9,5000,-4954.1216
11,6000,-5187.7639
13,7000,-4742.5895
15,8000,-5121.6702
17,9000,-5172.717
19,10000,-4901.808
21,11000,-5367.6268
23,12000,-4951.9747
25,13000,-5021.7599
27,14000,-5068.369
29,15000,-5132.3682
31,16000,-4824.1668
33,17000,-4830.0829
35,18000,-4944.9238
37,19000,-5240.1473
39,20000,-4736.2872
41,21000,-4960.3922
43,22000,-4836.3712
45,23000,-4988.9855
47,24000,-5020.0775
49,25000,-4759.9654
51,26000,-4781.1166
53,27000,-5199.4797
55,28000,-4894.1859
57,29000,-4854.4176
59,30000,-5139.1823
61,31000,-5134.1777
63,32000,-4633.5974
65,33000,-5073.0902
67,34000,-4938.2212
69,35000,-4841.529
71,36000,-4563.6122
73,37000,-4665.4637
75,38000,-5005.4476
77,39000,-4506.6689
79,40000,-4801.6004
81,41000,-4864.5056
83,42000,-4558.3364
85,43000,-4500.2022
87,44000,-4478.4811
89,45000,-4184.6952
91,46000,-4879.4678
93,47000,-4630.9478
95,48000,-4663.0408
97,49000,-4559.472
99,50000,-4620.0512
101,51000,-4822.6556
103,52000,-4418.3863
105,53000,-4521.3494
107,54000,-4576.7471
109,55000,-4510.776
111,56000,-4756.6173
113,57000,-4686.9603
115,58000,-4765.8713
117,59000,-4787.0011
119,60000,-4772.5865
121,61000,-4897.2322
123,62000,-4964.7504
125,63000,-4686.1718
127,64000,-4511.3164
129,65000,-4959.3665
131,66000,-4686.8119
133,67000,-5054.7182
135,68000,-4324.9801
137,69000,-4470.5485
139,70000,-4543.207
141,71000,-4377.3433
143,72000,-4481.9272
145,73000,-4560.8079
147,74000,-4538.6406
149,75000,-4770.073
151,76000,-4270.9262
153,77000,-4606.4815
155,78000,-3640.2964
157,79000,-4248.0564
159,80000,-4794.0579
161,81000,-4622.1052
164,82000,-3213.2844
166,83000,-4559.6609
168,84000,-4247.2487
170,85000,-4316.9456
172,86000,-4473.9014
174,87000,-4329.3751
176,88000,-5209.5788
178,89000,-4771.0588
180,90000,-4563.9982
182,91000,-4833.0087
185,92000,-3460.5297
187,93000,-4726.1157
189,94000,-4478.2914
191,95000,-4455.7637
193,96000,-4731.7597
195,97000,-4267.7213
197,98000,-4640.2943
199,99000,-4549.9395
201,100000,-4639.5733
203,101000,-4647.6285
205,102000,-4524.4492
207,103000,-4442.9375
209,104000,-4896.3115
211,105000,-4791.7382
213,106000,-4766.7391
215,107000,-3701.1692
217,108000,-4448.096
220,109000,-3493.553
222,110000,-4415.6298
224,111000,-4986.1916
226,112000,-4433.6516
228,113000,-4575.1268
230,114000,-4625.2322
232,115000,-5066.1896
234,116000,-4697.0181
236,117000,-4872.0714
238,118000,-4789.7987
240,119000,-4386.9482
242,120000,-5053.3701
244,121000,-4629.2925
246,122000,-4776.141
248,123000,-4866.2249
250,124000,-4637.1831
252,125000,-4707.6324
254,126000,-4103.6077
256,127000,-4712.2147
258,128000,-4415.7084
260,129000,-4689.0347
262,130000,-2602.5318
264,131000,-4780.0177
266,132000,-4602.302
268,133000,-4866.4511
270,134000,-4712.4805
272,135000,-4547.1432
274,136000,-4971.8511
276,137000,-4803.4309
278,138000,-4433.5432
280,139000,-4475.8814
282,140000,-4874.3684
284,141000,-4649.2303
286,142000,-4565.6647
288,143000,-4513.2637
290,144000,-4845.4256
292,145000,-4718.4749
294,146000,-4934.8702
296,147000,-4517.9928
298,148000,-4690.0626
300,149000,-4762.654
302,150000,-4403.7357
304,151000,-4636.7239
306,152000,-4589.8558
308,153000,-4403.8856
310,154000,-4736.644
312,155000,-4669.6047
314,156000,-4797.2509
316,157000,-4649.3666
318,158000,-4526.1326
320,159000,-3967.3915
322,160000,-4471.1729
324,161000,-4552.4782
327,162000,-3372.1869
329,163000,-4319.6008
331,164000,-4930.1406
333,165000,-4783.0687
335,166000,-4572.4079
337,167000,-4776.8553
339,168000,-4528.3491
341,169000,-4588.5199
343,170000,-4501.4513
345,171000,-4696.7524
347,172000,-4815.2463
